address__post_town=OLDHAM address__postcode=OL3_5DE address__street_line=DELPH_NEW_ROAD charity_name=Pc_Nicola_Hughes_Memorial_Fund charity_number=1156398 income_annually_in_british_pounds=103373.00 report_date=2016-04-29 spending_annually_in_british_pounds=43497.00
address__post_town=GAINSBOROUGH address__postcode=DN21_3JZ address__street_line=3_CHURCH_LANE charity_name=Stepping_Stone_Theatre charity_number=1165525 income_annually_in_british_pounds=17870.00 report_date=2017-03-31 spending_annually_in_british_pounds=15240.00
address__post_town=STAINES-UPON-THAMES[11] address__postcode=TW18_2AE charity_name=Ability_Housing_Association charity_number=271547 income_annually_in_british_pounds=13671352.00 report_date=2016-09-30 spending_annually_in_british_pounds=9314006.00
address__post_town=LONDON address__postcode=W1A_1AA address__street_line=PORTLAND_PLACE charity_name=Bbc_Media_Action charity_number=1076235 income_annually_in_british_pounds=35389699.00 report_date=2018-03-31 spending_annually_in_british_pounds=35928170.00
address__post_town=NOTTINGHAM address__postcode=NG2_4NB address__street_line=38_ENA_AVENUE charity_name=The_Greenway_Centre charity_number=702321 income_annually_in_british_pounds=107471.00 report_date=2014-03-31 spending_annually_in_british_pounds=93109.00
address__post_town=FELTHAM address__postcode=TW13_6XH address__street_line=SNAKEY_LANE charity_name=Kempton_Great_Engines_Trust_Ltd. charity_number=1048936 income_annually_in_british_pounds=40273.00 report_date=2015-12-31 spending_annually_in_british_pounds=46821.00
address__post_town=HUNTINGDON address__postcode=PE29_3RB address__street_line=13_HARTFORD_ROAD charity_name=The_Ladybird_Boat_Trust charity_number=1153894 income_annually_in_british_pounds=32906.00 report_date=2018-03-31 spending_annually_in_british_pounds=12108.00
address__post_town=BIRMINGHAM address__postcode=B27_6LL address__street_line=111_YARDLEY_ROAD charity_name=Kimichi_School charity_number=1149571 income_annually_in_british_pounds=88111.00 report_date=2017-07-31 spending_annually_in_british_pounds=201535.00
address__post_town=PRESTON address__postcode=PR2_3AP address__street_line=LYTHAM_ROAD charity_name=The_Parochial_Church_Council_Of_The_Ecclesiastical_Parish_Of_St_Cuthberts,_Fulwood charity_number=1127997 income_annually_in_british_pounds=131738.63 report_date=2016-12-31 spending_annually_in_british_pounds=130544.98
address__post_town=LONDON address__postcode=SE6_4PH address__street_line=16_VINEYARD_CLOSE charity_name=Benin_Technical_College_Old_Student_Association charity_number=1170287 income_annually_in_british_pounds=14698.00 report_date=2018-03-31 spending_annually_in_british_pounds=14109.00
address__post_town=FOLKESTONE address__postcode=CT20_2AS address__street_line=24_CHERITON_GARDENS charity_name=Home-Start_Shepway_Ltd. charity_number=1109478 income_annually_in_british_pounds=323014.00 report_date=2014-03-31 spending_annually_in_british_pounds=270128.00
address__postcode=NP8_1BZ charity_name=Tools_For_Self_Reliance_Cymru_Ltd. charity_number=1055483 income_annually_in_british_pounds=75545.00 report_date=2018-08-31 spending_annually_in_british_pounds=68469.00
address__post_town=NORTHWOOD address__postcode=HA6_2UR address__street_line=46_THE_GLEN charity_name=Christian_Heritage_International charity_number=1160735 report_date=2018-08-31
address__post_town=STOCKPORT address__postcode=SK4_4BX address__street_line=11_GLADSTONE_GROVE charity_name=2/88_Manchester_Scout_Group charity_number=521609 income_annually_in_british_pounds=29101.00 report_date=2017-03-30 spending_annually_in_british_pounds=22860.00
address__post_town=DERBY address__postcode=DE1_2EQ address__street_line=STUART_STREET charity_name=Methodist_Homes charity_number=1083995 income_annually_in_british_pounds=196500000.00 report_date=2014-03-31 spending_annually_in_british_pounds=185701000.00
address__post_town=GILLINGHAM address__postcode=SP8_5JH charity_name=Shaftesbury_Trinity_Centre_Trust charity_number=280711 income_annually_in_british_pounds=50139.00 report_date=2014-09-30 spending_annually_in_british_pounds=24008.00
address__post_town=ANDOVER address__postcode=SP11_8HJ address__street_line=MONXTON_ROAD charity_name=Land_Forces_Hq charity_number=1150189 income_annually_in_british_pounds=115205.00 report_date=2017-03-31 spending_annually_in_british_pounds=140440.00
address__post_town=CHELTENHAM address__postcode=GL54_5QH address__street_line=BACK_LANE charity_name=Abbey_Fields_Community_Centre charity_number=1110668 income_annually_in_british_pounds=27002.00 report_date=2018-03-31 spending_annually_in_british_pounds=20492.00
address__post_town=BIRMINGHAM address__postcode=B5_4TB address__street_line=HURST_STREET charity_name=Birmingham_Hippodrome_Theatre_Trust_Ltd. charity_number=510842 income_annually_in_british_pounds=26272000.00 report_date=2018-03-31 spending_annually_in_british_pounds=26799000.00
address__post_town=LONDON address__postcode=W1K_4QY address__street_line=10_GROSVENOR_STREET charity_name=Garfield_Weston_Foundation charity_number=230260 income_annually_in_british_pounds=56611000.00 report_date=2015-04-05 spending_annually_in_british_pounds=59049000.00
address__post_town=OXFORD address__postcode=OX1_3DW address__street_line=TURL_STREET charity_name=Jesus_College_Within_The_University_and_City_Of_Oxford_Of_Queen_Elizabeth's_Foundation charity_number=1137435 income_annually_in_british_pounds=12139000.00 report_date=2014-07-31 spending_annually_in_british_pounds=11029000.00
address__post_town=LONDON address__postcode=W1S_3ED address__street_line=34_SACKVILLE_STREET charity_name=Ashendene_Trust charity_number=270749 income_annually_in_british_pounds=54852.00 report_date=2015-04-05 spending_annually_in_british_pounds=52730.00
address__post_town=HARROW address__postcode=HA3_7EJ address__street_line=8_THE_CROSS_WAY charity_name=Sai_Sruti_Charitable_Trust charity_number=1123808 income_annually_in_british_pounds=113163.00 report_date=2017-04-05 spending_annually_in_british_pounds=89295.00
address__post_town=EASTLEIGH address__postcode=SO50_9DQ address__street_line=89_LEIGH_ROAD charity_name=Adhara_Autism_Trust charity_number=1173305 income_annually_in_british_pounds=56.00 report_date=2018-03-31
address__post_town=LONDON address__postcode=E3_5TG address__street_line=184_GROVE_ROAD charity_name=London,_Bethnal_Green_Congregation_Of_Jehovah's_Witnesses charity_number=1065986 income_annually_in_british_pounds=35658.00 report_date=2016-03-31 spending_annually_in_british_pounds=28264.00
address__post_town=LONDON address__postcode=SW12_9LU address__street_line=2D_FONTENOY_ROAD charity_name=The_Association_Of_The_Friends_Of_Polish_Children charity_number=216439 income_annually_in_british_pounds=110329.00 report_date=2015-12-31 spending_annually_in_british_pounds=104173.00
address__post_town=BIRMINGHAM address__postcode=B13_9QE address__street_line=182_WAKE_GREEN_ROAD charity_name=Mums_and_Families charity_number=1167922 income_annually_in_british_pounds=455.00 report_date=2017-03-31 spending_annually_in_british_pounds=353.00
address__post_town=LONDON address__postcode=SW1W_0BD address__street_line=17_GROSVENOR_GARDENS charity_name=The_Cowley_Charitable_Foundation charity_number=270682 income_annually_in_british_pounds=35879.00 report_date=2015-04-05 spending_annually_in_british_pounds=35019.00
address__post_town=ROBERTSBRIDGE address__postcode=TN32_5DR address__street_line=BRIGHTLING_ROAD charity_name=Church_Communities_Uk charity_number=229226 income_annually_in_british_pounds=24010992.00 report_date=2017-03-31 spending_annually_in_british_pounds=19237682.00
address__post_town=FAREHAM address__postcode=PO15_7PA address__street_line=THE_FORUM_PARKWAY charity_name=Educational_Trust_No._1_1982 charity_number=286516 income_annually_in_british_pounds=929093.00 report_date=2016-04-05 spending_annually_in_british_pounds=857589.00
address__post_town=WITHAM address__postcode=CM8_2EZ address__street_line=7_STOURTON_ROAD charity_name=Witham_Community_Association charity_number=301438 income_annually_in_british_pounds=186732.00 report_date=2017-03-31 spending_annually_in_british_pounds=182672.00
address__post_town=LONDON address__postcode=W6_0PG address__street_line=IFFLEY_ROAD charity_name=Godolphin_and_Latymer_School charity_number=312699 income_annually_in_british_pounds=17080667.00 report_date=2017-08-31 spending_annually_in_british_pounds=15828747.00
address__post_town=GERRARDS_CROSS address__postcode=SL9_0RJ address__street_line=CHESHAM_LANE charity_name=Epilepsy_Society charity_number=206186 income_annually_in_british_pounds=17056000.00 report_date=2017-03-31 spending_annually_in_british_pounds=16841000.00
address__post_town=HARROGATE address__postcode=HG2_9HA address__street_line=6_FIRS_AVENUE charity_name=Sir_George_Martin_Trust charity_number=223554 income_annually_in_british_pounds=125149.00 report_date=2014-04-05 spending_annually_in_british_pounds=253371.00
address__post_town=BURY_ST._EDMUNDS address__postcode=IP31_3RU address__street_line=CHURCH_ROAD charity_name=Thurston_Pre-School_Ltd. charity_number=1144602 income_annually_in_british_pounds=105163.00 report_date=2018-08-31 spending_annually_in_british_pounds=95474.00
address__post_town=LIVERPOOL address__postcode=L4_3TQ address__street_line=WESTMINSTER_ROAD charity_name=Mersey_Youth_Support_Trust charity_number=1147153 income_annually_in_british_pounds=68479.00 report_date=2013-11-30 spending_annually_in_british_pounds=83636.00
